"","Plant.Id","Plant.Name","State","Net.Gen","Physical_Unit","Total_Fuel_Consumption","FuelType","Lat","Lon"
"1419",1383,"Robert A Reid","KY",289,"barrels","2,833","BIT",37.65,-87.5
"1420",1383,"Robert A Reid","KY",592,"mcf","32,873","BIT",37.65,-87.5
"1421",1383,"Robert A Reid","KY",-870,"short tons","293","BIT",37.65,-87.5
"1422",1383,"Robert A Reid","KY",-15779,"barrels","3,126","BIT",37.65,-87.5
"1423",1383,"Robert A Reid","KY",0,"mcf","0","BIT",37.65,-87.5
"1424",1384,"Cooper","KY",522407,"short tons","237,378",NA,NA,NA
"1425",1384,"Cooper","KY",2102,"barrels","4,012",NA,NA,NA
"1426",1385,"Dale","KY",48508,"short tons","24,223","BIT",37.88,-84.26
"1427",1385,"Dale","KY",-179,"barrels","843","BIT",37.88,-84.26
"1428",1391,"Louisiana 1","LA",1799524,"mcf","19,969,266","NG",30.49,-91.19
"1429",1391,"Louisiana 1","LA",220222,"mcf","2,614,247","NG",30.49,-91.19
"1430",1391,"Louisiana 1","LA",0,"barrels","0","NG",30.49,-91.19
"1431",1391,"Louisiana 1","LA",48015,"mcf","643,534","NG",30.49,-91.19
"1432",1391,"Louisiana 1","LA",800533,"mcf","11,845,266","NG",30.49,-91.19
"1433",1393,"R S Nelson","LA",9232,"barrels","19,810","SUB",30.28,-93.29
"1434",1393,"R S Nelson","LA",638424,"mcf","7,647,759","SUB",30.28,-93.29
"1435",1393,"R S Nelson","LA",1298661,"short tons","543,403","SUB",30.28,-93.29
"1436",1393,"R S Nelson","LA",2089383,"short tons","1,517,593","SUB",30.28,-93.29
"1437",1394,"Willow Glen","LA",0,"barrels","0","NG",30.27,-91.12
"1438",1394,"Willow Glen","LA",280355,"mcf","2,982,591","NG",30.27,-91.12
"1439",1394,"Willow Glen","LA",0,"barrels","0","NG",30.27,-91.12
"1440",1396,"Coughlin Power Station","LA",1013346,"mcf","7,544,426","NG",30.84,-92.26
"1441",1396,"Coughlin Power Station","LA",2032466,"mcf","15,032,541","NG",30.84,-92.26
"1442",1400,"Teche","LA",2823,"mcf","42,378","NG",29.82,-91.54
"1443",1400,"Teche","LA",0,"barrels","0","NG",29.82,-91.54
"1444",1400,"Teche","LA",89262,"mcf","1,167,807","NG",29.82,-91.54
"1445",1401,"Buras","LA",0,"barrels","0","NG",29.36,-89.54
"1446",1401,"Buras","LA",6809,"mcf","123,058","NG",29.36,-89.54
"1447",1402,"Little Gypsy","LA",0,"barrels","0","NG",30.01,-90.46
"1448",1402,"Little Gypsy","LA",1765874,"mcf","18,756,466","NG",30.01,-90.46
"1449",1403,"Nine Mile Point","LA",15349,"barrels","0","NG",29.95,-90.15
